id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,rating,bedrooms,beds,baths
9.53E+17,Hotel in Brooklyn · ★4.33 · 1 bedroom · 1 bed · 1 bath,215565541,LuxUrban,Brooklyn,Williamsburg,40.707258,-73.9339721,Private room,220.00,1,3,18/12/23,0.94,35,0,3,Exempt,4.33,1,1,1
48194167,Rental unit in The Bronx · 1 bedroom · 1 bed · 1 shared bath,388818764,Mildred,Bronx,University Heights,40.85615,-73.9152,Private room,55.00,30,2,21/03/21,0.06,1,0,0,No License,No rating,1,1,1
6.62E+17,Home in Queens · ★4.82 · 1 bedroom · 1 bed · 1 private bath,45400201,Shauna,Queens,Flushing,40.75972,-73.81527,Private room,69.00,30,28,22/12/23,1.54,6,55,12,No License,4.82,1,1,1
235951,Condo in New York · ★4.69 · 1 bedroom · 1 bed · 1 bath,1236070,Daniel,Manhattan,Midtown,40.75408,-73.97071,Entire home/apt,188.00,30,155,01/12/23,1.04,1,91,6,No License,4.69,1,1,1
48298348,Rental unit in Queens · ★5.0 · 1 bedroom · 1 bed · 1 private bath,309612914,Abeer,Queens,East Elmhurst,40.76366,-73.86133,Private room,99.00,30,6,20/02/22,0.18,6,0,0,No License,5,1,1,1
367810,Loft in Brooklyn · ★5.0 · 2 bedrooms · 1 bed · 1 shared bath,1728785,Veronika,Brooklyn,Greenpoint,40.73626,-73.95634,Private room,180.00,30,11,19/04/23,0.12,1,3,1,No License,5,2,1,1
271694,Rental unit in New York · ★4.11 · 1 bedroom · 1 bed · 1 bath,1387370,James,Manhattan,Midtown,40.75282,-73.97315,Entire home/apt,125.00,365,19,08/09/15,0.13,1,0,0,No License,4.11,1,1,1
13213869,Rental unit in New York · ★4.90 · 1 bedroom · 1 bed · Shared half-bath,38284609,Emily,Manhattan,Washington Heights,40.84387,-73.94179,Private room,85.00,30,10,02/01/20,0.11,1,0,0,No License,4.9,1,1,1.5
13325767,Rental unit in Brooklyn · ★4.33 · 1 bedroom · 1 bed · 1 shared bath,10864311,Habib,Brooklyn,Clinton Hill,40.69257,-73.96887,Private room,75.00,30,9,26/08/19,0.11,1,0,0,No License,4.33,1,1,1
48676880,Rental unit in Queens · 1 bedroom · 1 bed · 1 private bath,349342033,Andrea,Queens,Ridgewood,40.70349,-73.90875,Private room,100.00,30,1,24/04/21,0.03,1,0,0,No License,No rating,1,1,1
47942202,Home in Brooklyn · ★4.50 · 1 bedroom · 1 bed · 1 bath,43825074,Masud,Brooklyn,Cypress Hills,40.68693,-73.87378,Private room,38.00,30,4,01/09/23,0.12,7,285,2,No License,4.5,1,1,1
8.81E+17,Home in Queens · ★4.67 · Studio · 3 beds · 1 shared bath,500477805,Rebecca,Queens,Flushing,40.75713694,-73.81348864,Private room,121.00,30,3,12/06/23,0.39,3,364,3,No License,4.67,Studio,3,1
39125813,Rental unit in Staten Island · ★5.0 · 1 bedroom · 3 beds · 1 bath,77290831,Nas,Staten Island,Prince's Bay,40.52339,-74.20517,Entire home/apt,118.00,30,3,25/06/22,0.15,1,179,0,No License,5,1,3,1
1126944,Home in Brooklyn · ★4.67 · 3 bedrooms · 5 beds · 3 baths,128663,Tina,Brooklyn,Kensington,40.63866,-73.9715,Entire home/apt,109.00,30,3,02/09/23,0.03,1,0,1,No License,4.67,3,5,3
53832868,Home in Staten Island · ★4.74 · 1 bedroom · 2 beds · 1 bath,39553567,Bianca,Staten Island,Port Richmond,40.62866,-74.14578,Entire home/apt,75.00,30,35,10/10/23,1.43,2,339,14,No License,4.74,1,2,1
1027808,Loft in New York · ★4.87 · 2 bedrooms · 1 bed · 2 baths,5655889,East Village Loft,Manhattan,East Village,40.72154,-73.98174,Entire home/apt,450.00,30,54,05/11/23,0.42,1,355,2,No License,4.87,2,1,2
1203627,Rental unit in Long Island City · ★3.67 · 1 bedroom · 1 bed · 1 bath,6455628,Teddy,Queens,Astoria,40.76299,-73.92416,Private room,90.00,30,3,11/09/13,0.02,1,279,0,No License,3.67,1,1,1
1146653,Condo in New York · ★4.90 · 2 bedrooms · 1 bed · 1 bath,836168,Henry,Manhattan,Upper West Side,40.79296,-73.96499,Entire home/apt,1000.00,30,23,27/01/16,0.18,10,364,0,No License,4.9,2,1,1
843491,Home in Queens · ★4.75 · 1 bedroom · 1 bed · 1 private bath,4241953,Celeste,Queens,Flushing,40.75869,-73.80992,Private room,98.00,30,12,20/10/21,0.12,3,268,0,No License,4.75,1,1,1
20801864,Home in Bronx · ★4.87 · 2 bedrooms · 1 bed · 1 bath,77750223,Mercedes,Bronx,Clason Point,40.8159,-73.86486,Private room,114.00,30,15,25/10/19,0.2,2,177,0,No License,4.87,2,1,1
3840324,Rental unit in Brooklyn · ★4.94 · 1 bedroom · 1 bed · 1 bath,10366196,Matt,Brooklyn,Williamsburg,40.70824,-73.94681,Entire home/apt,120.00,30,18,01/01/21,0.16,1,0,0,No License,4.94,1,1,1
4089102,Rental unit in Brooklyn · ★4.66 · 2 bedrooms · 2 beds · 1 bath,21183428,Jae,Brooklyn,Bedford-Stuyvesant,40.68401,-73.95626,Entire home/apt,170.00,30,298,25/11/23,2.64,2,12,37,No License,4.66,2,2,1
8.48E+17,Home in Brooklyn · ★4.58 · 1 bedroom · 2 beds · 1 private bath,505586331,Lizeth,Brooklyn,Gravesend,40.6023553,-73.9902915,Private room,100.00,30,19,08/10/23,2.22,1,180,19,No License,4.58,1,2,1
48851559,Rental unit in Queens · 1 bedroom · 1 bath,3711407,Andy,Queens,Long Island City,40.74726,-73.94574,Entire home/apt,168.00,30,1,15/10/21,0.04,1,9,0,No License,No rating,1,1,1
48867046,Rental unit in New York · ★5.0 · Studio · 1 bed · 1 bath,384559808,Best Inns USA,Manhattan,Gramercy,40.7338,-73.98532,Entire home/apt,80.00,30,8,04/08/23,0.27,30,17,2,No License,5,Studio,1,1
3359510,Serviced apartment in Brooklyn · ★4.95 · Studio · 2 beds · 1 private bath,7503643,Vida,Brooklyn,Greenpoint,40.72623,-73.94128,Hotel room,135.00,30,21,15/11/23,0.19,18,249,2,No License,4.95,Studio,2,1
7.25E+17,Rental unit in Brooklyn · ★4.78 · 1 bedroom · 1 bed · 1 bath,29344465,Rondell,Brooklyn,East Flatbush,40.64546,-73.9429,Entire home/apt,100.00,30,50,04/12/23,3.75,1,83,44,No License,4.78,1,1,1
3394517,Rental unit in New York · ★4.75 · 3 bedrooms · 1 bed · 1.5 shared baths,17125263,Mario,Manhattan,East Harlem,40.80303,-73.93888,Private room,49.00,30,83,26/03/20,0.74,2,0,0,No License,4.75,3,1,1.5
6.81E+17,Rental unit in Brooklyn · ★4.83 · 2 bedrooms · 3 beds · 1 bath,132551372,Zhong Xuan,Brooklyn,Kensington,40.63367036,-73.97068362,Entire home/apt,120.00,30,23,06/12/23,3.45,1,100,23,No License,4.83,2,3,1
49057864,Rental unit in New York · 1 bedroom · 1 bed · 1 shared bath,22103146,Kyra,Manhattan,Washington Heights,40.85373,-73.93614,Private room,65.00,30,1,18/08/21,0.03,2,0,0,No License,No rating,1,1,1
43197566,Rental unit in Staten Island · ★4.73 · 2 bedrooms · 4 beds · 1 bath,338412156,Michael,Staten Island,St. George,40.64557,-74.08443,Entire home/apt,160.00,30,48,04/09/23,1.49,3,364,10,No License,4.73,2,4,1
4847177,Condo in Brooklyn · 2 bedrooms · 2 beds · 1 bath,24940913,Nina,Brooklyn,Boerum Hill,40.68574,-73.99055,Entire home/apt,140.00,30,1,28/07/15,0.01,1,0,0,No License,No rating,2,2,1
8.07E+17,Home in Queens · ★4.50 · 6 bedrooms · 8 beds · 4 baths,496749638,B,Queens,South Ozone Park,40.66493199,-73.81553072,Entire home/apt,900.00,30,14,13/10/23,1.4,2,365,14,No License,4.5,6,8,4
49124837,Hotel in New York · ★4.80 · Studio · 1 bed · 1 private bath,383332265,Tyler,Manhattan,Chelsea,40.74766,-73.99227,Private room,999.00,1,10,22/09/21,0.31,9,0,0,Exempt,4.8,Studio,1,1
6523409,Rental unit in brooklyn · ★4.53 · 1 bedroom · 1 bed · 1 bath,2124716,Jules,Brooklyn,Park Slope,40.66923,-73.98134,Private room,99.00,30,99,18/09/17,0.97,1,0,0,No License,4.53,1,1,1
8.40E+17,Rental unit in Brooklyn · 1 bedroom · 3 beds · 1 bath,56410716,Robin,Brooklyn,Crown Heights,40.67820796,-73.95278474,Entire home/apt,95.00,30,1,20/06/23,0.15,1,0,1,No License,No rating,1,3,1
6.49E+17,Rental unit in The Bronx · ★4.15 · 1 bedroom · 1 bed · 1 bath,375297023,Andrew,Bronx,Wakefield,40.88353,-73.85161,Entire home/apt,123.00,30,27,28/10/23,1.86,1,365,16,No License,4.15,1,1,1
7.02E+17,Home in Queens · 3 bedrooms · 6 beds · 1 bath,183178516,Lucky Day Realty Corp.,Queens,Forest Hills,40.73234628,-73.84721232,Entire home/apt,418.00,30,1,07/08/23,0.2,7,365,1,No License,No rating,3,6,1
7.22E+17,Rental unit in Queens · ★4.79 · 2 bedrooms · 4 beds · 1 private bath,328093301,Sebastian,Queens,Springfield Gardens,40.67406,-73.76267,Private room,130.00,2,43,28/12/23,2.75,1,357,32,OSE-STRREG-0000942,4.79,2,4,1
25476838,Rental unit in Bronx · ★5.0 · 1 bedroom · 2 beds · 1 bath,78289814,Tamara,Bronx,North Riverdale,40.90341,-73.90199,Entire home/apt,130.00,30,46,14/12/22,0.68,1,150,0,No License,5,1,2,1
7.02E+17,Rental unit in The Bronx · ★4.45 · 2 bedrooms · 2 beds · 1 bath,274452385,Koffi,Bronx,Belmont,40.85532,-73.88953,Entire home/apt,191.00,30,40,04/09/23,2.45,3,365,29,No License,4.45,2,2,1
7.63E+17,Rental unit in Queens · ★4.58 · Studio · 2 beds · 1 bath,102833442,Vixen,Queens,Corona,40.736906,-73.861374,Entire home/apt,60.00,30,12,16/07/23,0.94,1,203,11,No License,4.58,Studio,2,1
6.21E+17,Rental unit in Bronx · ★5.0 · 2 bedrooms · 3 beds · 1 bath,97328229,Jaime,Bronx,Tremont,40.84208,-73.8911,Entire home/apt,120.00,30,5,20/12/23,0.26,6,348,2,No License,5,2,3,1
9.96E+17,Home in Brooklyn · ★4.67 · 5 bedrooms · 9 beds · 3.5 baths,391579286,Avraham,Brooklyn,Flatbush,40.64640857,-73.95306681,Entire home/apt,460.00,2,6,04/01/24,2.17,5,214,6,Exempt,4.67,5,9,3.5
49275777,Rental unit in Brooklyn · ★4.46 · 1 bedroom · 2 beds · 1 bath,75248463,Jotham,Brooklyn,East Flatbush,40.64509,-73.94641,Entire home/apt,200.00,30,13,14/05/22,0.4,6,289,0,No License,4.46,1,2,1
51425482,Condo in New York · ★4.86 · 1 bedroom · 1 bath,380355687,Eddie,Manhattan,West Village,40.733143,-74.009605,Entire home/apt,200.00,700,7,18/11/23,0.25,1,95,5,No License,4.86,1,1,1
5.65E+17,Rental unit in Queens · ★4.42 · 1 bedroom · 1 bed · 1 shared bath,411757269,Javier,Queens,Elmhurst,40.73279,-73.87233,Private room,70.00,31,52,12/06/23,2.32,4,90,8,No License,4.42,1,1,1
28838614,Rental unit in Queens · ★4.81 · 1 bedroom · 2 beds · 1 bath,73638523,Stephany,Queens,Queens Village,40.72122,-73.75003,Entire home/apt,88.00,30,63,30/09/23,0.99,1,297,2,No License,4.81,1,2,1
52553133,Rental unit in New York · ★3.84 · 1 bedroom · 1 bed · 1 bath,423873487,Shoreham,Manhattan,Midtown,40.76301,-73.97743,Entire home/apt,174.00,1,25,16/01/23,1.11,44,0,1,Exempt,3.84,1,1,1
52553514,Rental unit in New York · ★4.27 · 1 bedroom · 1 bed · 1 bath,423873487,Shoreham,Manhattan,Midtown,40.76314,-73.97703,Entire home/apt,179.00,1,26,02/01/23,0.96,44,0,0,Exempt,4.27,1,1,1
52553544,Rental unit in New York · ★4.21 · 1 bedroom · 1 bed · 1 bath,423873487,Shoreham,Manhattan,Midtown,40.76344,-73.97524,Entire home/apt,172.00,1,38,22/01/23,1.41,44,0,1,Exempt,4.21,1,1,1
49732450,Rental unit in Brooklyn · ★5.0 · 1 bedroom · 1 shared bath,401096854,Jonatah,Brooklyn,Bedford-Stuyvesant,40.68322,-73.91827,Private room,95.00,30,4,01/12/22,0.13,9,0,0,No License,5,1,1,1
52566357,Condo in Brooklyn · ★4.93 · 1 bedroom · 1 bed · 1 bath,24740457,Max,Brooklyn,Greenpoint,40.73261,-73.95662,Entire home/apt,125.00,60,43,01/10/23,1.56,1,35,15,No License,4.93,1,1,1
50504090,Rental unit in Brooklyn · ★4.61 · 1 bedroom · 1 bed · 1 shared bath,223558519,Tarrus,Brooklyn,Prospect-Lefferts Gardens,40.65823,-73.95602,Private room,50.00,30,70,24/06/23,2.38,2,0,3,No License,4.61,1,1,1
50802956,Townhouse in New York · ★4.77 · 1 bedroom · 2 beds · 1 private bath,5406114,Tiffany,Manhattan,Harlem,40.81204,-73.94234,Private room,179.00,30,44,31/10/23,1.73,1,332,19,No License,4.77,1,2,1
8.48E+17,Townhouse in Queens · 1 bedroom · 1 bed · 1 shared bath,19303369,Hiroki,Queens,Elmhurst,40.72826122,-73.87504158,Private room,30.00,30,2,06/09/23,0.38,267,25,2,No License,No rating,1,1,1
15158194,Rental unit in New York · ★4.40 · 1 bedroom · 1 bed · 1 bath,7245581,Michael,Manhattan,Washington Heights,40.83501,-73.93934,Entire home/apt,84.00,75,10,14/08/23,0.12,16,363,1,No License,4.4,1,1,1
8.49E+17,Rental unit in Brooklyn · 1 bedroom · 1 bed · 1 bath,78469790,Gary,Brooklyn,Fort Greene,40.68794,-73.97203,Entire home/apt,120.00,30,1,24/07/23,0.18,1,0,1,No License,No rating,1,1,1
9.45E+17,Rental unit in New York · 1 bedroom · 1 bed · 1 bath,528289924,Steven,Manhattan,Harlem,40.82022269,-73.94580424,Entire home/apt,74.00,30,1,14/11/23,0.56,2,51,1,No License,No rating,1,1,1
1.03E+18,Rental unit in New York · ★5.0 · 1 bedroom · 1 bed · 1 bath,306654226,Vicky,Manhattan,Hell's Kitchen,40.75704,-73.99068,Entire home/apt,428.00,2,3,18/12/23,3,1,269,3,OSE-STRREG-0000069,5,1,1,1
50915627,Condo in New York · ★4.75 · 1 bedroom · 1 bed · 1 bath,594816,George,Manhattan,Chelsea,40.73867,-73.99878,Entire home/apt,275.00,30,4,08/10/22,0.14,1,364,0,No License,4.75,1,1,1
51143675,Home in Brooklyn · ★4.53 · 2 bedrooms · 10 beds · 1 bath,411034737,Peter,Brooklyn,East Flatbush,40.6398509,-73.9366136,Entire home/apt,250.00,30,17,04/11/23,1.05,11,349,11,No License,4.53,2,10,1
51901717,Rental unit in New York · 1 bedroom · 1 bed · 1.5 baths,4493085,Babak,Manhattan,Financial District,40.70401,-74.00919,Entire home/apt,325.00,30,2,31/07/22,0.07,1,0,0,No License,No rating,1,1,1.5
51821915,Serviced apartment in New York · 1 bedroom · 2 beds · 1 bath,163251048,Global Luxury,Manhattan,Midtown,40.755878,-73.963348,Entire home/apt,348.00,30,1,14/12/21,0.04,5,363,0,No License,No rating,1,2,1
51196430,Rental unit in Queens · 1 bedroom · 1 bed · 1 shared bath,395699445,Busra,Queens,Sunnyside,40.74431,-73.92326,Private room,56.00,30,1,17/08/21,0.03,1,0,0,No License,No rating,1,1,1
53384597,Rental unit in Queens · 1 bedroom · 1 bed · 1 bath,123320165,Murah,Queens,Astoria,40.76769,-73.91048,Entire home/apt,120.00,30,1,28/11/21,0.04,1,0,0,No License,No rating,1,1,1
9548422,Loft in Brooklyn · 1 bedroom · 1 bed · 1 bath,5053976,Una,Brooklyn,Bedford-Stuyvesant,40.68977,-73.95835,Private room,45.00,30,2,15/12/21,0.02,4,310,0,No License,No rating,1,1,1
6.02E+17,Home in Bronx · ★4.94 · 1 bedroom · 1 bed · 1 shared bath,156583372,Patrick,Bronx,Allerton,40.859352,-73.864983,Private room,45.00,30,17,11/09/23,0.8,8,0,4,No License,4.94,1,1,1
6.81E+17,Rental unit in Brooklyn · ★4.67 · 1 bedroom · 1 bed · 1 bath,19758179,Telmo,Brooklyn,Bushwick,40.70095,-73.91389,Entire home/apt,89.00,30,6,26/11/23,0.47,9,343,5,No License,4.67,1,1,1
13187006,Rental unit in Queens · ★4.58 · 1 bedroom · 3 beds · 1 bath,62668424,Tain,Queens,Sunnyside,40.7435,-73.915,Entire home/apt,116.00,30,24,06/06/22,0.27,3,365,0,No License,4.58,1,3,1
9725508,Serviced apartment in Brooklyn · ★4.76 · Studio · 2 beds · 1 bath,16437254,Benjamin,Brooklyn,Boerum Hill,40.68812,-73.9854,Entire home/apt,95.00,30,25,28/09/23,0.27,17,241,5,No License,4.76,Studio,2,1
8.31E+17,Rental unit in Brooklyn · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,266577166,Jhoan,Brooklyn,Bushwick,40.69679,-73.91672,Private room,40.00,30,13,23/09/23,1.29,5,205,13,No License,5,1,1,1
5.83E+17,Rental unit in New York · ★4.70 · Studio · 1 bed · 1 bath,95303084,David,Manhattan,Upper West Side,40.78823,-73.96957,Entire home/apt,200.00,30,53,07/12/23,2.52,9,365,28,No License,4.7,Studio,1,1
41567947,Rental unit in Brooklyn · ★5.0 · Studio · 2 beds · 1 bath,327541101,Felicita,Brooklyn,Bushwick,40.70541,-73.92392,Entire home/apt,100.00,30,18,30/09/23,0.42,1,359,2,No License,5,Studio,2,1
1.00E+18,Rental unit in Brooklyn · 1 bedroom · 2 beds · 1 bath,32212,Rodney,Brooklyn,Bedford-Stuyvesant,40.68884468,-73.9303994,Entire home/apt,108.00,30,1,01/12/23,0.81,2,340,1,No License,No rating,1,2,1
39702571,Rental unit in Brooklyn · ★4.86 · 1 bedroom · 1 bed · 1 shared bath,165136941,Silvia,Brooklyn,Bedford-Stuyvesant,40.68561,-73.94407,Private room,123.00,1,51,24/12/23,1.01,2,148,27,Exempt,4.86,1,1,1
42888442,Rental unit in New York · ★4.60 · 2 bedrooms · 2 beds · 1 bath,113723310,MyNyHousing,Manhattan,Upper East Side,40.77328,-73.95003,Entire home/apt,206.00,30,10,31/10/23,0.24,60,280,3,No License,4.6,2,2,1
53662451,Rental unit in Brooklyn · 1 bedroom · 1 bed · 1.5 baths,14456700,Simone,Brooklyn,Bedford-Stuyvesant,40.68438,-73.95666,Entire home/apt,225.00,30,1,12/06/23,0.14,1,154,1,No License,No rating,1,1,1.5
8.99E+17,Rental unit in Brooklyn · ★4.96 · 2 bedrooms · 3 beds · 1 bath,3631391,Katy,Brooklyn,Bushwick,40.6882214,-73.9141898,Entire home/apt,103.00,30,28,25/11/23,3.84,1,266,28,No License,4.96,2,3,1
9.46E+17,Home in Brooklyn · 1 bedroom · 1 bed · 1 bath,1637060,Caio,Brooklyn,Crown Heights,40.67764152,-73.941112,Private room,80.00,30,1,16/10/23,0.36,3,361,1,No License,No rating,1,1,1
